contrast_type,contrast_id,metric,fold_seed_positive,fold_seed_negative,fold_seed_zero,fold_positive,fold_negative,fold_zero,fold_seed_count,fold_count
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,biological_category_probe_accuracy,13,12,0,2,3,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,acquisition_category_probe_accuracy,2,23,0,0,5,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_average,17,8,0,5,0,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_worst,15,10,0,4,1,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_average,12,13,0,2,3,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_worst,12,13,0,1,4,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p05_vs_xcov0,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_scanner_probe_accuracy,16,9,0,3,2,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_scanner_probe_accuracy,15,10,0,4,1,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_category_probe_accuracy,10,15,0,1,4,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,acquisition_category_probe_accuracy,5,20,0,0,5,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_average,20,5,0,4,1,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_pair_cosine_worst,15,10,0,4,1,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_average,10,15,0,1,4,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,biological_retrieval_top1_worst,9,16,0,2,3,0,25,5
dimension_by_weight_interaction,dim32_vs_dim64_by_xcov0p2_vs_xcov0,branch_cross_covariance_rms,0,25,0,0,5,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_scanner_probe_accuracy,13,12,0,2,3,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,acquisition_scanner_probe_accuracy,17,8,0,5,0,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_category_probe_accuracy,12,13,0,4,1,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,acquisition_category_probe_accuracy,9,16,0,1,4,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_average,12,13,0,2,3,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_pair_cosine_worst,10,15,0,2,3,0,25,5
dimension_by_weight_interaction,dim4_vs_dim64_by_xcov0p05_vs_xcov0,biological_retrieval_top1_average,9,16,0,0,5,0,25,5
